country;year2018;year2019;year2020;year2021
Tunisia;30,09399766;30,08601248;27,59477499;31,78599104
Turkey;431,886308;416,96075;416,513545;449,724902
Turkmenistan;75,49211201;75,51401922;72,33523105;83,32159784
Turks and Caicos Islands;0,265413954;0,270099052;0,223215109;0,24848955
Uganda;6,396511145;7,125894403;6,466342314;6,815710279
Ukraine;212,3224571;199,581791;189,7177081;185,4554
United Arab Emirates;187,9170284;199,2888538;189,3380243;193,5069399
United Kingdom;379,2617178;367,6539684;318,9227497;335,3631883
United States;5166,492416;5011,099581;4464,105812;4752,07932
Uruguay;6,679537555;6,676533937;6,288348429;6,790116761
Uzbekistan;117,8146586;122,7661736;122,1539434;125,6536225
Vanuatu;0,2162922;0,214036616;0,21514146;0,223016434
Venezuela;139,0193293;118,7914334;100,1568359;104,6724586
Vietnam;282,7839888;333,5080596;322,017652;321,4133382
Western Sahara;0,22553796;0,232813543;0,19742443;0,238713663
Yemen;10,41767032;12,30795679;11,60795894;12,04724534
Zambia;8,268375635;7,084711368;6,6183587;7,010965431
Zimbabwe;12,73037151;12,08821822;11,4433945;12,29322746
